Initial number of nuclei A : 100
Initial number of nuclei B : 0
Time constant : 1.00 s
Time step : 0.01 s
Total time : 10.00 s
Time		Number of nuclei A		Number of nuclei B
7.09		    50.000030			    49.999970
7.10		    50.000029			    49.999971
7.11		    50.000029			    49.999971
7.12		    50.000028			    49.999972
7.13		    50.000028			    49.999972
7.14		    50.000027			    49.999973
7.15		    50.000027			    49.999973
7.16		    50.000026			    49.999974
7.17		    50.000026			    49.999974
7.18		    50.000025			    49.999975
7.19		    50.000025			    49.999975
7.20		    50.000024			    49.999976
7.21		    50.000024			    49.999976
7.22		    50.000023			    49.999977
7.23		    50.000023			    49.999977
7.24		    50.000022			    49.999978
7.25		    50.000022			    49.999978
7.26		    50.000021			    49.999979
7.27		    50.000021			    49.999979
7.28		    50.000020			    49.999980
7.29		    50.000020			    49.999980
7.30		    50.000020			    49.999980
7.31		    50.000019			    49.999981
7.32		    50.000019			    49.999981
7.33		    50.000019			    49.999981
7.34		    50.000018			    49.999982
7.35		    50.000018			    49.999982
7.36		    50.000017			    49.999983
7.37		    50.000017			    49.999983
7.38		    50.000017			    49.999983
7.39		    50.000016			    49.999984
7.40		    50.000016			    49.999984
7.41		    50.000016			    49.999984
7.42		    50.000015			    49.999985
7.43		    50.000015			    49.999985
7.44		    50.000015			    49.999985
7.45		    50.000015			    49.999985
7.46		    50.000014			    49.999986
7.47		    50.000014			    49.999986
7.48		    50.000014			    49.999986
7.49		    50.000013			    49.999987
7.50		    50.000013			    49.999987
7.51		    50.000013			    49.999987
7.52		    50.000013			    49.999987
7.53		    50.000012			    49.999988
7.54		    50.000012			    49.999988
7.55		    50.000012			    49.999988
7.56		    50.000012			    49.999988
7.57		    50.000011			    49.999989
7.58		    50.000011			    49.999989
7.59		    50.000011			    49.999989
7.60		    50.000011			    49.999989
7.61		    50.000011			    49.999989
7.62		    50.000010			    49.999990
7.63		    50.000010			    49.999990
7.64		    50.000010			    49.999990
7.65		    50.000010			    49.999990
7.66		    50.000010			    49.999990
7.67		    50.000009			    49.999991
7.68		    50.000009			    49.999991
7.69		    50.000009			    49.999991
7.70		    50.000009			    49.999991
7.71		    50.000009			    49.999991
7.72		    50.000008			    49.999992
7.73		    50.000008			    49.999992
7.74		    50.000008			    49.999992
7.75		    50.000008			    49.999992
7.76		    50.000008			    49.999992
7.77		    50.000008			    49.999992
7.78		    50.000007			    49.999993
7.79		    50.000007			    49.999993
7.80		    50.000007			    49.999993
7.81		    50.000007			    49.999993
7.82		    50.000007			    49.999993
7.83		    50.000007			    49.999993
7.84		    50.000007			    49.999993
7.85		    50.000006			    49.999994
7.86		    50.000006			    49.999994
7.87		    50.000006			    49.999994
7.88		    50.000006			    49.999994
7.89		    50.000006			    49.999994
7.90		    50.000006			    49.999994
7.91		    50.000006			    49.999994
7.92		    50.000006			    49.999994
